Timestamp,Score,Correct Fields
2025-05-28T16:40:32.265203,10,1
2025-05-28T16:49:35.381006,10,1
2025-05-28T16:50:05.155753,0,0
2025-05-28T16:50:18.088475,0,0
2025-05-28T17:02:30.588624,0,0
2025-05-28T17:02:51.185342,0,0
2025-05-28T17:16:34.307625,0,0
2025-05-28T17:27:08.921651,10,1
2025-05-28T17:27:54.330013,20,1
2025-05-28T17:28:46.110102,30,1
2025-05-28T17:42:07.044335,0,0
2025-05-28T17:43:24.774493,0,0
2025-05-28T17:43:54.692808,0,0
2025-05-28T17:44:10.739453,0,0
2025-05-28T17:44:41.936599,0,0
2025-05-28T17:54:55.381200,0,0
2025-05-28T18:01:07.220775,0,0
2025-05-28T18:01:27.418181,10,1
2025-05-28T18:02:06.248035,30,2
2025-05-28T18:06:05.252499,10,1
